0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
4.962426112847310722e-01,5.060513499346739330e-01,4.980319141552714823e-01,4.883140921428915093e-01,4.967401591322116450e-01
4.904028760306663459e-01,5.144901157434547123e-01,4.952727853467333019e-01,4.691415428957929623e-01,4.907776681356452730e-01
4.847410010361398736e-01,5.217562794025089046e-01,4.932404755764711601e-01,4.497490525094805514e-01,4.848629502615546816e-01
4.803288864276281656e-01,5.265571354056466369e-01,4.923968314344538966e-01,4.337529837939679278e-01,4.803812174454839545e-01
4.773907946805040492e-01,5.290337679438101848e-01,4.925570785219071657e-01,4.218684136726014167e-01,4.774428574888368582e-01
4.757238017821677212e-01,5.298285362589860714e-01,4.933369158917024211e-01,4.135362505774066721e-01,4.756524531807529987e-01
4.749837803169207340e-01,5.295951840800514621e-01,4.943833648375358103e-01,4.078862964970145222e-01,4.745747714079215918e-01
4.748390900421120553e-01,5.288318870165940044e-01,4.954532384087622088e-01,4.041277468068940060e-01,4.738937287411605914e-01
4.750306891722346214e-01,5.278670070491373600e-01,4.964124559569806361e-01,4.016525447233894042e-01,4.734205274693755738e-01
4.753803598198824143e-01,5.268933055944566846e-01,4.972071944879674077e-01,4.000290334090517708e-01,4.730568795339731292e-01
4.757775651716125709e-01,5.260105012209700392e-01,4.978320597813712389e-01,3.989634215697930864e-01,4.727574854052193909e-01
4.761604654086346033e-01,5.252595423186976475e-01,4.983057676956486604e-01,3.982611894473953584e-01,4.725035994224547342e-01
4.764993178132843621e-01,5.246471046077008094e-01,4.986557959720366862e-01,3.977952599392017841e-01,4.722877710051309741e-01
4.767838405843653482e-01,5.241628764846703037e-01,4.989098607703515431e-01,3.974835574493593149e-01,4.721063940722626251e-01
4.770142721404561081e-01,5.237884401147937519e-01,4.990921317740458218e-01,3.972731530533092359e-01,4.719564287869860153e-01
4.771961259111837106e-01,5.235038875471733633e-01,4.992219208880236403e-01,3.971298634872740263e-01,4.718345670915377044e-01
4.773370014887368673e-01,5.232905625284232087e-01,4.993140696688317948e-01,3.970315158233979069e-01,4.717371731026100412e-01
4.774444388606596812e-01,5.231323122001801940e-01,4.993794857664624609e-01,3.969635963306786253e-01,4.716604619252844910e-01
4.775255011773393288e-01,5.230158447269649402e-01,4.994260369940246580e-01,3.969165086613076765e-01,4.716008274785757348e-01
4.775860594962705874e-01,5.229306100868942320e-01,4.994592367811592770e-01,3.968838453159718171e-01,4.715548722977536689e-01
4.776309417936674406e-01,5.228685616531085767e-01,4.994831382437104339e-01,3.968610763416683951e-01,4.715199439761431632e-01
4.776640521737524070e-01,5.228236197519804396e-01,4.995003043814030264e-01,3.968453407154482471e-01,4.714935391186799163e-01
4.776883708687562624e-01,5.227910756166808115e-01,4.995127617521590846e-01,3.968344926700994590e-01,4.714737205744213844e-01
4.777060734482076465e-01,5.227676509918222081e-01,4.995218514604858884e-01,3.968270122871804251e-01,4.714589386226135104e-01
